description,amount,category,date,transaction_type,account_name,month,source
Ola cab booking - INR 2628 - Ref 495039,1375.15,Travel,,,,,indian
Home loan EMI - INR 17434 - Ref 140669,3585.36,Rent,,,,,indian
Cafe coffee purchase - INR 26008 - Ref 749411,976.09,Miscellaneous,,,,,indian
Bakery purchase - INR 36498 - Ref 331365,386.48,Miscellaneous,,,,,indian
Flipkart purchase - INR 20452 - Ref 104587,484.98,Office Supplies,,,,,indian
Credit card EMI - INR 2489 - Ref 904687,2212.22,Rent,,,,,indian
Education loan EMI - INR 19255 - Ref 574368,4607.76,Rent,,,,,indian
NPS contribution - INR 20312 - Ref 544954,583.79,Professional Fees,,,,,indian
Hotel stay booking - INR 46742 - Ref 559566,2861.36,Travel,,,,,indian
Car loan EMI - INR 23198 - Ref 141259,1573.18,Rent,,,,,indian
MakeMyTrip travel booking - INR 30199 - Ref 204049,1506.06,Travel,,,,,indian
Ola cab booking - INR 36061 - Ref 425375,553.01,Travel,,,,,indian
Gold bond investment - INR 26659 - Ref 812929,3061.82,Professional Fees,,,,,indian
Mutual fund SIP - INR 31284 - Ref 863310,839.1,Professional Fees,,,,,indian
Demat account transfer - INR 24977 - Ref 520093,206.15,Professional Fees,,,,,indian
Dominos pizza order - INR 32107 - Ref 119814,378.62,Miscellaneous,,,,,indian
Share trading debit - INR 42511 - Ref 835043,4506.6,Professional Fees,,,,,indian
Gold bond investment - INR 27365 - Ref 543680,2941.01,Professional Fees,,,,,indian
Supermarket shopping - INR 34800 - Ref 736449,412.72,Office Supplies,,,,,indian
Ajio clothing purchase - INR 47941 - Ref 384056,232.34,Office Supplies,,,,,indian
Rapido bike ride - INR 14789 - Ref 476207,2269.71,Travel,,,,,indian
Retail store shopping - INR 21769 - Ref 459161,126.6,Office Supplies,,,,,indian
ETF purchase - INR 37259 - Ref 243047,1255.82,Professional Fees,,,,,indian
Appliance EMI - INR 42537 - Ref 118438,4628.65,Rent,,,,,indian
Amazon,109.83,Office Supplies,2018-09-02,debit,Platinum Card,2018-09,excel
Electronics purchase - INR 27575 - Ref 392878,195.64,Office Supplies,,,,,indian
Flight ticket booking - INR 20075 - Ref 341045,1676.83,Travel,,,,,indian
Amazon online shopping - INR 16036 - Ref 598668,247.8,Office Supplies,,,,,indian
Hardware Store,27.96,Office Supplies,2019-05-24,debit,Platinum Card,2019-05,excel
KFC online order - INR 14638 - Ref 293034,203.24,Miscellaneous,,,,,indian
KFC online order - INR 32981 - Ref 893771,883.79,Miscellaneous,,,,,indian
Restaurant dine-in bill - INR 37725 - Ref 712879,735.33,Miscellaneous,,,,,indian
Amazon online shopping - INR 49499 - Ref 530801,174.16,Office Supplies,,,,,indian
ETF purchase - INR 32102 - Ref 102109,2917.48,Professional Fees,,,,,indian
Stock market investment - INR 24520 - Ref 603102,977.6,Professional Fees,,,,,indian
Starbucks,2.75,Miscellaneous,2019-06-03,debit,Platinum Card,2019-06,excel
Personal loan EMI - INR 38997 - Ref 272306,1951.98,Rent,,,,,indian
Share trading debit - INR 5132 - Ref 243340,4161.21,Professional Fees,,,,,indian
PPF contribution - INR 33100 - Ref 110938,3366.31,Professional Fees,,,,,indian
Car loan EMI - INR 5516 - Ref 212335,3570.8,Rent,,,,,indian
Bakery purchase - INR 14065 - Ref 276444,737.71,Miscellaneous,,,,,indian
Lifestyle store purchase - INR 11914 - Ref 426777,475.14,Office Supplies,,,,,indian
Bike loan EMI - INR 796 - Ref 172684,4926.7,Rent,,,,,indian
Metro card recharge - INR 26979 - Ref 309056,2396.45,Travel,,,,,indian
Uber ride payment - INR 2945 - Ref 754957,154.21,Travel,,,,,indian
McDonald's meal payment - INR 14092 - Ref 102484,157.94,Miscellaneous,,,,,indian
Car loan EMI - INR 18509 - Ref 180610,3860.06,Rent,,,,,indian
KFC online order - INR 1540 - Ref 815655,101.02,Miscellaneous,,,,,indian
Gold bond investment - INR 1373 - Ref 169455,429.2,Professional Fees,,,,,indian
Grocery food items - INR 20095 - Ref 329405,856.75,Miscellaneous,,,,,indian
Grocery food items - INR 28346 - Ref 120360,450.19,Miscellaneous,,,,,indian
Home loan EMI - INR 2338 - Ref 361798,2645.01,Rent,,,,,indian
Retirement fund investment - INR 14209 - Ref 720241,1458.49,Professional Fees,,,,,indian
Bus ticket purchase - INR 25127 - Ref 280072,2983.28,Travel,,,,,indian
Gold bond investment - INR 30619 - Ref 852658,1504.23,Professional Fees,,,,,indian
Ola cab booking - INR 13981 - Ref 203101,2071.97,Travel,,,,,indian
Laptop EMI payment - INR 23802 - Ref 500200,3378.08,Rent,,,,,indian
Supermarket shopping - INR 5084 - Ref 276157,195.84,Office Supplies,,,,,indian
Cafe coffee purchase - INR 15609 - Ref 618466,946.51,Miscellaneous,,,,,indian
Grocery Store,67.63,Office Supplies,2018-05-14,debit,Silver Card,2018-05,excel
eBay online order - INR 11707 - Ref 777141,414.72,Office Supplies,,,,,indian
Consumer durable EMI - INR 46554 - Ref 957295,1717.38,Rent,,,,,indian
Myntra fashion order - INR 14614 - Ref 513969,452.08,Office Supplies,,,,,indian
American Tavern,63.0,Miscellaneous,2018-12-17,debit,Silver Card,2018-12,excel
Lifestyle store purchase - INR 10232 - Ref 594416,416.96,Office Supplies,,,,,indian
Dominos pizza order - INR 31686 - Ref 189820,889.18,Miscellaneous,,,,,indian
ETF purchase - INR 8081 - Ref 864538,643.91,Professional Fees,,,,,indian
Stock market investment - INR 16393 - Ref 310106,1158.8,Professional Fees,,,,,indian
Ola cab booking - INR 40258 - Ref 902844,2037.33,Travel,,,,,indian
Education loan EMI - INR 32324 - Ref 771910,1105.05,Rent,,,,,indian
Hotel dinner bill - INR 30483 - Ref 133002,612.98,Miscellaneous,,,,,indian
Bakery purchase - INR 14430 - Ref 770997,103.28,Miscellaneous,,,,,indian
Cafe coffee purchase - INR 15720 - Ref 717646,518.58,Miscellaneous,,,,,indian
Education loan EMI - INR 5809 - Ref 967478,3785.42,Rent,,,,,indian
Retirement fund investment - INR 5811 - Ref 662897,367.04,Professional Fees,,,,,indian
Restaurant dine-in bill - INR 26875 - Ref 281029,461.06,Miscellaneous,,,,,indian
American Tavern,27.0,Miscellaneous,2018-10-06,debit,Silver Card,2018-10,excel
Ola cab booking - INR 34523 - Ref 991208,2361.25,Travel,,,,,indian
Electronics purchase - INR 14124 - Ref 756579,261.87,Office Supplies,,,,,indian
Uber ride payment - INR 34671 - Ref 249047,2365.58,Travel,,,,,indian
Rapido bike ride - INR 27366 - Ref 678806,2395.3,Travel,,,,,indian
Credit card EMI - INR 8910 - Ref 988249,3487.23,Rent,,,,,indian
Credit card EMI - INR 23757 - Ref 670905,2193.77,Rent,,,,,indian
Bakery purchase - INR 22057 - Ref 323270,521.19,Miscellaneous,,,,,indian
ETF purchase - INR 3614 - Ref 157997,4817.97,Professional Fees,,,,,indian
Grocery food items - INR 7734 - Ref 586322,35.33,Miscellaneous,,,,,indian
Zomato food delivery - INR 15260 - Ref 991890,214.86,Miscellaneous,,,,,indian
Ola cab booking - INR 13402 - Ref 118774,2328.82,Travel,,,,,indian
Myntra fashion order - INR 31487 - Ref 852636,464.5,Office Supplies,,,,,indian
Mutual fund SIP - INR 6158 - Ref 342253,4606.49,Professional Fees,,,,,indian
Stock market investment - INR 17585 - Ref 253026,2733.03,Professional Fees,,,,,indian
Demat account transfer - INR 12425 - Ref 886422,4659.6,Professional Fees,,,,,indian
Flight ticket booking - INR 12038 - Ref 526426,2927.89,Travel,,,,,indian
Grocery food items - INR 27235 - Ref 603805,466.24,Miscellaneous,,,,,indian
Hardware Store,45.24,Office Supplies,2018-10-18,debit,Platinum Card,2018-10,excel
Personal loan EMI - INR 13233 - Ref 268730,4204.59,Rent,,,,,indian
Mutual fund SIP - INR 48751 - Ref 951124,2663.54,Professional Fees,,,,,indian
Laptop EMI payment - INR 32923 - Ref 807878,3881.02,Rent,,,,,indian
Dominos pizza order - INR 43618 - Ref 373039,472.45,Miscellaneous,,,,,indian
ETF purchase - INR 37599 - Ref 718610,4106.33,Professional Fees,,,,,indian
Electronics purchase - INR 24425 - Ref 540512,206.14,Office Supplies,,,,,indian
Bike loan EMI - INR 35465 - Ref 342575,3972.56,Rent,,,,,indian
Credit Card Payment,292.54,Professional Fees,2019-02-20,credit,Silver Card,2019-02,excel
PPF contribution - INR 40208 - Ref 518185,4723.84,Professional Fees,,,,,indian
NPS contribution - INR 47132 - Ref 197331,1791.44,Professional Fees,,,,,indian
Credit card EMI - INR 35789 - Ref 448571,2193.42,Rent,,,,,indian
Myntra fashion order - INR 43155 - Ref 569141,207.97,Office Supplies,,,,,indian
Ajio clothing purchase - INR 30590 - Ref 636902,94.6,Office Supplies,,,,,indian
Grocery food items - INR 43748 - Ref 938883,144.35,Miscellaneous,,,,,indian
Electronics purchase - INR 5068 - Ref 245655,449.18,Office Supplies,,,,,indian
KFC online order - INR 31161 - Ref 708444,325.87,Miscellaneous,,,,,indian
Lifestyle store purchase - INR 43957 - Ref 386825,499.66,Office Supplies,,,,,indian
Gold bond investment - INR 33379 - Ref 669490,1534.05,Professional Fees,,,,,indian
Demat account transfer - INR 3847 - Ref 411010,3936.98,Professional Fees,,,,,indian
Ola cab booking - INR 2122 - Ref 215830,2224.5,Travel,,,,,indian
American Tavern,42.31,Miscellaneous,2018-08-24,debit,Platinum Card,2018-08,excel
Dominos pizza order - INR 25739 - Ref 657477,815.29,Miscellaneous,,,,,indian
Mall shopping payment - INR 16541 - Ref 951185,465.28,Office Supplies,,,,,indian
Mobile EMI payment - INR 15253 - Ref 578685,4114.92,Rent,,,,,indian
Appliance EMI - INR 27712 - Ref 376124,2040.03,Rent,,,,,indian
Myntra fashion order - INR 26488 - Ref 985436,117.0,Office Supplies,,,,,indian
Laptop EMI payment - INR 25194 - Ref 388574,2540.78,Rent,,,,,indian
Laptop EMI payment - INR 35530 - Ref 678226,4517.33,Rent,,,,,indian
Bakery purchase - INR 43898 - Ref 805985,704.18,Miscellaneous,,,,,indian
Supermarket shopping - INR 33095 - Ref 541846,488.04,Office Supplies,,,,,indian
Stock market investment - INR 8746 - Ref 692731,3301.05,Professional Fees,,,,,indian
Electronics purchase - INR 14942 - Ref 208646,316.94,Office Supplies,,,,,indian
Myntra fashion order - INR 43341 - Ref 159132,147.3,Office Supplies,,,,,indian
Mobile EMI payment - INR 45059 - Ref 889610,2254.71,Rent,,,,,indian
Stock market investment - INR 49916 - Ref 904198,3948.5,Professional Fees,,,,,indian
IRCTC train ticket - INR 11225 - Ref 788201,2046.32,Travel,,,,,indian
Gold bond investment - INR 6313 - Ref 428570,376.26,Professional Fees,,,,,indian
Personal loan EMI - INR 12776 - Ref 691457,3942.67,Rent,,,,,indian
MakeMyTrip travel booking - INR 16288 - Ref 604613,906.84,Travel,,,,,indian
Supermarket shopping - INR 23570 - Ref 948729,197.85,Office Supplies,,,,,indian
KFC online order - INR 27481 - Ref 373976,238.46,Miscellaneous,,,,,indian
NPS contribution - INR 33332 - Ref 249669,4845.13,Professional Fees,,,,,indian
Uber ride payment - INR 4443 - Ref 997122,2101.4,Travel,,,,,indian
Demat account transfer - INR 23688 - Ref 317294,4118.98,Professional Fees,,,,,indian
Laptop EMI payment - INR 39147 - Ref 842005,3220.35,Rent,,,,,indian
Laptop EMI payment - INR 16737 - Ref 519579,3586.24,Rent,,,,,indian
Mall shopping payment - INR 10304 - Ref 437167,158.72,Office Supplies,,,,,indian
Electronics purchase - INR 44389 - Ref 788156,474.62,Office Supplies,,,,,indian
Zomato food delivery - INR 47276 - Ref 274469,135.3,Miscellaneous,,,,,indian
Home loan EMI - INR 18524 - Ref 643604,3525.09,Rent,,,,,indian
MakeMyTrip travel booking - INR 9930 - Ref 191424,1509.92,Travel,,,,,indian
Restaurant dine-in bill - INR 28301 - Ref 327759,48.0,Miscellaneous,,,,,indian
KFC online order - INR 21889 - Ref 637317,795.83,Miscellaneous,,,,,indian
Zomato food delivery - INR 13368 - Ref 627197,511.8,Miscellaneous,,,,,indian
Bus ticket purchase - INR 35392 - Ref 872639,204.85,Travel,,,,,indian
Share trading debit - INR 4724 - Ref 884429,2112.33,Professional Fees,,,,,indian
Zomato food delivery - INR 27957 - Ref 389256,537.72,Miscellaneous,,,,,indian
Grocery Store,65.09,Office Supplies,2019-09-09,debit,Silver Card,2019-09,excel
KFC online order - INR 43419 - Ref 534322,788.11,Miscellaneous,,,,,indian
Credit card EMI - INR 40625 - Ref 657815,4952.97,Rent,,,,,indian
Shell,38.52,Travel,2018-06-19,debit,Platinum Card,2018-06,excel
MakeMyTrip travel booking - INR 23863 - Ref 809176,341.32,Travel,,,,,indian
Metro card recharge - INR 10600 - Ref 496380,2007.1,Travel,,,,,indian
Mall shopping payment - INR 15142 - Ref 143253,231.82,Office Supplies,,,,,indian
Retail store shopping - INR 33960 - Ref 504734,304.61,Office Supplies,,,,,indian
Metro card recharge - INR 45237 - Ref 621117,1514.17,Travel,,,,,indian
Laptop EMI payment - INR 12709 - Ref 323750,4565.33,Rent,,,,,indian
Personal loan EMI - INR 8513 - Ref 773639,3851.59,Rent,,,,,indian
Supermarket shopping - INR 43303 - Ref 260688,276.07,Office Supplies,,,,,indian
Lifestyle store purchase - INR 22233 - Ref 547207,74.07,Office Supplies,,,,,indian
Supermarket shopping - INR 17025 - Ref 206286,403.95,Office Supplies,,,,,indian
Demat account transfer - INR 25388 - Ref 154455,3450.54,Professional Fees,,,,,indian
Appliance EMI - INR 30677 - Ref 701510,1079.34,Rent,,,,,indian
MakeMyTrip travel booking - INR 15900 - Ref 658600,51.2,Travel,,,,,indian
Bike loan EMI - INR 11506 - Ref 215045,3803.53,Rent,,,,,indian
Hardware Store,86.97,Office Supplies,2019-02-04,debit,Silver Card,2019-02,excel
Myntra fashion order - INR 24154 - Ref 552665,276.67,Office Supplies,,,,,indian
Hotel dinner bill - INR 33700 - Ref 538467,227.43,Miscellaneous,,,,,indian
Ola cab booking - INR 20618 - Ref 738837,1967.14,Travel,,,,,indian
Bike loan EMI - INR 40601 - Ref 501810,3711.06,Rent,,,,,indian
KFC online order - INR 47573 - Ref 723373,510.46,Miscellaneous,,,,,indian
Flipkart purchase - INR 17796 - Ref 458001,197.33,Office Supplies,,,,,indian
Electronics purchase - INR 15079 - Ref 755949,482.82,Office Supplies,,,,,indian
Ajio clothing purchase - INR 17048 - Ref 282182,82.36,Office Supplies,,,,,indian
eBay online order - INR 24036 - Ref 120859,340.74,Office Supplies,,,,,indian
Bakery purchase - INR 182 - Ref 803279,406.44,Miscellaneous,,,,,indian
Metro card recharge - INR 32929 - Ref 699528,322.77,Travel,,,,,indian
Lifestyle store purchase - INR 6318 - Ref 543652,327.88,Office Supplies,,,,,indian
Fixed deposit investment - INR 21392 - Ref 492993,4838.07,Professional Fees,,,,,indian
Hotel dinner bill - INR 40320 - Ref 782564,752.57,Miscellaneous,,,,,indian
Restaurant dine-in bill - INR 14610 - Ref 637366,705.48,Miscellaneous,,,,,indian
Demat account transfer - INR 38960 - Ref 654334,646.9,Professional Fees,,,,,indian
Rapido bike ride - INR 46327 - Ref 308457,1489.17,Travel,,,,,indian
Myntra fashion order - INR 23666 - Ref 687691,439.34,Office Supplies,,,,,indian
Car loan EMI - INR 17432 - Ref 185958,3155.07,Rent,,,,,indian
eBay online order - INR 39974 - Ref 574591,366.58,Office Supplies,,,,,indian
eBay online order - INR 1621 - Ref 539821,105.03,Office Supplies,,,,,indian
PPF contribution - INR 37196 - Ref 769301,3044.09,Professional Fees,,,,,indian
IRCTC train ticket - INR 11606 - Ref 409691,1338.37,Travel,,,,,indian
Demat account transfer - INR 32459 - Ref 805736,3712.57,Professional Fees,,,,,indian
Ola cab booking - INR 8149 - Ref 639120,1374.09,Travel,,,,,indian
Mutual fund SIP - INR 40989 - Ref 763534,4181.14,Professional Fees,,,,,indian
Rapido bike ride - INR 6861 - Ref 141742,602.81,Travel,,,,,indian
Airport taxi fare - INR 23066 - Ref 395071,605.27,Travel,,,,,indian
Share trading debit - INR 31568 - Ref 163750,2081.97,Professional Fees,,,,,indian
Hotel dinner bill - INR 32695 - Ref 827797,229.09,Miscellaneous,,,,,indian
Retirement fund investment - INR 19556 - Ref 273267,550.27,Professional Fees,,,,,indian
Amazon online shopping - INR 25575 - Ref 749141,87.18,Office Supplies,,,,,indian
Amazon,47.38,Office Supplies,2018-09-20,debit,Platinum Card,2018-09,excel
NPS contribution - INR 41004 - Ref 243206,1874.26,Professional Fees,,,,,indian
Dominos pizza order - INR 1678 - Ref 233928,872.49,Miscellaneous,,,,,indian
Electronics purchase - INR 28879 - Ref 182752,231.48,Office Supplies,,,,,indian
Gold bond investment - INR 31740 - Ref 221196,3616.7,Professional Fees,,,,,indian
McDonald's meal payment - INR 26317 - Ref 196908,589.92,Miscellaneous,,,,,indian
Rapido bike ride - INR 12272 - Ref 291655,482.84,Travel,,,,,indian
Lifestyle store purchase - INR 16870 - Ref 465846,77.56,Office Supplies,,,,,indian
Stock market investment - INR 9100 - Ref 487842,3850.89,Professional Fees,,,,,indian
Lifestyle store purchase - INR 20484 - Ref 504272,65.36,Office Supplies,,,,,indian
Education loan EMI - INR 18446 - Ref 394356,4884.31,Rent,,,,,indian
Airport taxi fare - INR 19111 - Ref 524939,1615.14,Travel,,,,,indian
Electronics purchase - INR 27643 - Ref 495890,190.55,Office Supplies,,,,,indian
Gold bond investment - INR 48465 - Ref 271658,1687.55,Professional Fees,,,,,indian
Amazon online shopping - INR 32499 - Ref 980860,496.92,Office Supplies,,,,,indian
Consumer durable EMI - INR 27868 - Ref 349343,2524.28,Rent,,,,,indian
Demat account transfer - INR 30724 - Ref 421914,4650.67,Professional Fees,,,,,indian
Grocery Store,11.64,Office Supplies,2018-08-31,debit,Platinum Card,2018-08,excel
Consumer durable EMI - INR 10753 - Ref 987999,3921.98,Rent,,,,,indian
Fixed deposit investment - INR 21457 - Ref 116713,4953.12,Professional Fees,,,,,indian
Metro card recharge - INR 27144 - Ref 730137,104.93,Travel,,,,,indian
Mobile EMI payment - INR 40089 - Ref 192021,3817.41,Rent,,,,,indian
Rapido bike ride - INR 8307 - Ref 552766,2432.35,Travel,,,,,indian
Zomato food delivery - INR 13872 - Ref 634910,65.22,Miscellaneous,,,,,indian
Mutual fund SIP - INR 31184 - Ref 330334,2447.72,Professional Fees,,,,,indian
Credit Card Payment,309.81,Professional Fees,2018-01-22,credit,Silver Card,2018-01,excel
Restaurant dine-in bill - INR 23353 - Ref 909275,862.32,Miscellaneous,,,,,indian
Mobile EMI payment - INR 4425 - Ref 118061,2197.52,Rent,,,,,indian
Share trading debit - INR 30798 - Ref 838106,4938.51,Professional Fees,,,,,indian
Personal loan EMI - INR 27375 - Ref 439807,2140.26,Rent,,,,,indian
Demat account transfer - INR 36884 - Ref 705618,2077.44,Professional Fees,,,,,indian
Gold bond investment - INR 19015 - Ref 951463,2413.96,Professional Fees,,,,,indian
Retirement fund investment - INR 44609 - Ref 115583,3178.7,Professional Fees,,,,,indian
ETF purchase - INR 2790 - Ref 631048,403.3,Professional Fees,,,,,indian
Restaurant dine-in bill - INR 6299 - Ref 140813,833.76,Miscellaneous,,,,,indian
Gold bond investment - INR 9700 - Ref 938423,1692.69,Professional Fees,,,,,indian
Bus ticket purchase - INR 30186 - Ref 149756,1923.42,Travel,,,,,indian
Laptop EMI payment - INR 42975 - Ref 927038,3409.81,Rent,,,,,indian
Credit Card Payment,262.51,Professional Fees,2018-11-02,credit,Platinum Card,2018-11,excel
McDonald's meal payment - INR 47066 - Ref 271662,426.88,Miscellaneous,,,,,indian
McDonald's meal payment - INR 4572 - Ref 602525,620.52,Miscellaneous,,,,,indian
Bike loan EMI - INR 8339 - Ref 872527,2830.72,Rent,,,,,indian
Laptop EMI payment - INR 8730 - Ref 823653,2459.33,Rent,,,,,indian
Mutual fund SIP - INR 8157 - Ref 826477,3319.45,Professional Fees,,,,,indian
Metro card recharge - INR 22252 - Ref 353966,1168.18,Travel,,,,,indian
Dominos pizza order - INR 11402 - Ref 210720,123.4,Miscellaneous,,,,,indian
Mall shopping payment - INR 14180 - Ref 126431,428.96,Office Supplies,,,,,indian
Supermarket shopping - INR 32441 - Ref 103127,226.23,Office Supplies,,,,,indian
McDonald's meal payment - INR 35737 - Ref 670098,527.26,Miscellaneous,,,,,indian
Mobile EMI payment - INR 10568 - Ref 396673,2948.76,Rent,,,,,indian
MakeMyTrip travel booking - INR 9330 - Ref 637598,662.97,Travel,,,,,indian
Grocery food items - INR 8324 - Ref 170737,130.95,Miscellaneous,,,,,indian
Bus ticket purchase - INR 18846 - Ref 110703,1240.01,Travel,,,,,indian
Metro card recharge - INR 30160 - Ref 482491,259.43,Travel,,,,,indian
Mall shopping payment - INR 14050 - Ref 847801,331.63,Office Supplies,,,,,indian
Ola cab booking - INR 46731 - Ref 301470,1395.74,Travel,,,,,indian
Supermarket shopping - INR 34081 - Ref 716064,190.4,Office Supplies,,,,,indian
Home loan EMI - INR 42648 - Ref 886347,3869.43,Rent,,,,,indian
Mutual fund SIP - INR 29037 - Ref 584748,317.24,Professional Fees,,,,,indian
Home loan EMI - INR 45823 - Ref 232905,3776.0,Rent,,,,,indian
Lifestyle store purchase - INR 40194 - Ref 405632,121.47,Office Supplies,,,,,indian
NPS contribution - INR 26794 - Ref 902722,827.15,Professional Fees,,,,,indian
Mobile EMI payment - INR 20317 - Ref 659480,4295.42,Rent,,,,,indian
eBay online order - INR 13854 - Ref 700641,183.85,Office Supplies,,,,,indian
Amazon,16.94,Office Supplies,2019-05-06,debit,Platinum Card,2019-05,excel
Rapido bike ride - INR 17499 - Ref 628986,948.84,Travel,,,,,indian
McDonald's meal payment - INR 8054 - Ref 940587,939.74,Miscellaneous,,,,,indian
Mall shopping payment - INR 41027 - Ref 127755,280.27,Office Supplies,,,,,indian
PPF contribution - INR 1587 - Ref 279527,1925.74,Professional Fees,,,,,indian
Retail store shopping - INR 48322 - Ref 627401,63.84,Office Supplies,,,,,indian
Education loan EMI - INR 47281 - Ref 570822,3237.18,Rent,,,,,indian
Restaurant dine-in bill - INR 24715 - Ref 906376,585.12,Miscellaneous,,,,,indian
Mall shopping payment - INR 4569 - Ref 494182,175.35,Office Supplies,,,,,indian
Mobile EMI payment - INR 49398 - Ref 556524,3147.62,Rent,,,,,indian
eBay online order - INR 34424 - Ref 385887,390.85,Office Supplies,,,,,indian
Mall shopping payment - INR 38203 - Ref 245081,94.41,Office Supplies,,,,,indian
Thai Restaurant,27.0,Miscellaneous,2018-12-13,debit,Silver Card,2018-12,excel
Demat account transfer - INR 30721 - Ref 698109,2925.54,Professional Fees,,,,,indian
ETF purchase - INR 5886 - Ref 534239,1787.8,Professional Fees,,,,,indian
Credit card EMI - INR 36745 - Ref 445254,3457.92,Rent,,,,,indian
Myntra fashion order - INR 30923 - Ref 381263,453.63,Office Supplies,,,,,indian
Share trading debit - INR 14399 - Ref 981669,4925.09,Professional Fees,,,,,indian
Zomato food delivery - INR 5566 - Ref 301523,661.61,Miscellaneous,,,,,indian
KFC online order - INR 29772 - Ref 194371,793.5,Miscellaneous,,,,,indian
Car loan EMI - INR 25161 - Ref 942374,3762.17,Rent,,,,,indian
Dominos pizza order - INR 4554 - Ref 696900,426.22,Miscellaneous,,,,,indian
Stock market investment - INR 4441 - Ref 620410,4728.0,Professional Fees,,,,,indian
eBay online order - INR 1054 - Ref 428364,398.76,Office Supplies,,,,,indian
Education loan EMI - INR 8429 - Ref 639979,2637.84,Rent,,,,,indian
Steakhouse,17.64,Miscellaneous,2018-03-29,debit,Silver Card,2018-03,excel
Credit Card Payment,458.56,Professional Fees,2019-06-07,debit,Checking,2019-06,excel
Education loan EMI - INR 6973 - Ref 692134,3829.23,Rent,,,,,indian
NPS contribution - INR 22441 - Ref 724602,3574.34,Professional Fees,,,,,indian
Supermarket shopping - INR 3125 - Ref 547608,176.47,Office Supplies,,,,,indian
Home loan EMI - INR 26017 - Ref 486709,1090.99,Rent,,,,,indian
Laptop EMI payment - INR 26262 - Ref 165717,3144.91,Rent,,,,,indian
Grocery Store,20.72,Office Supplies,2018-03-09,debit,Platinum Card,2018-03,excel
Bakery purchase - INR 20458 - Ref 189452,824.65,Miscellaneous,,,,,indian
Retirement fund investment - INR 32633 - Ref 710771,1850.65,Professional Fees,,,,,indian
McDonald's meal payment - INR 31932 - Ref 849743,724.04,Miscellaneous,,,,,indian
Personal loan EMI - INR 14536 - Ref 827724,2738.91,Rent,,,,,indian
Mall shopping payment - INR 6972 - Ref 270058,233.55,Office Supplies,,,,,indian
Cafe coffee purchase - INR 45540 - Ref 157835,670.26,Miscellaneous,,,,,indian
Supermarket shopping - INR 11452 - Ref 689621,160.29,Office Supplies,,,,,indian
Lifestyle store purchase - INR 11351 - Ref 478088,428.9,Office Supplies,,,,,indian
McDonald's meal payment - INR 26428 - Ref 908013,316.15,Miscellaneous,,,,,indian
KFC online order - INR 33212 - Ref 470819,322.1,Miscellaneous,,,,,indian
Personal loan EMI - INR 25737 - Ref 896203,3755.4,Rent,,,,,indian
Lifestyle store purchase - INR 39558 - Ref 790752,479.19,Office Supplies,,,,,indian
Home loan EMI - INR 48971 - Ref 602903,4019.86,Rent,,,,,indian
Flipkart purchase - INR 46490 - Ref 770136,315.52,Office Supplies,,,,,indian
Uber ride payment - INR 20036 - Ref 866028,2103.7,Travel,,,,,indian
Shell,30.38,Travel,2018-12-20,debit,Silver Card,2018-12,excel
McDonald's meal payment - INR 33045 - Ref 471486,317.76,Miscellaneous,,,,,indian
Consumer durable EMI - INR 5727 - Ref 677082,1485.7,Rent,,,,,indian
Hardware Store,26.25,Office Supplies,2019-09-09,debit,Silver Card,2019-09,excel
ETF purchase - INR 4443 - Ref 699766,973.42,Professional Fees,,,,,indian
Dominos pizza order - INR 19567 - Ref 164742,890.21,Miscellaneous,,,,,indian
Bike loan EMI - INR 33317 - Ref 266679,2443.85,Rent,,,,,indian
eBay online order - INR 44871 - Ref 531953,76.75,Office Supplies,,,,,indian
Retail store shopping - INR 12230 - Ref 774086,272.7,Office Supplies,,,,,indian
Bus ticket purchase - INR 40194 - Ref 608623,1106.35,Travel,,,,,indian
Ola cab booking - INR 22039 - Ref 131344,1656.35,Travel,,,,,indian
Retail store shopping - INR 31042 - Ref 167537,85.84,Office Supplies,,,,,indian
Swiggy order payment - INR 741 - Ref 507855,119.72,Miscellaneous,,,,,indian
Myntra fashion order - INR 1026 - Ref 669258,284.05,Office Supplies,,,,,indian
Restaurant dine-in bill - INR 25923 - Ref 874056,704.29,Miscellaneous,,,,,indian
Retirement fund investment - INR 48757 - Ref 489506,1734.47,Professional Fees,,,,,indian
Restaurant dine-in bill - INR 34652 - Ref 344630,738.07,Miscellaneous,,,,,indian
Credit Card Payment,207.08,Professional Fees,2018-05-19,credit,Platinum Card,2018-05,excel
IRCTC train ticket - INR 40209 - Ref 236843,715.78,Travel,,,,,indian
Movie Theater,9.62,Miscellaneous,2018-05-28,debit,Silver Card,2018-05,excel
Education loan EMI - INR 48423 - Ref 364561,1522.86,Rent,,,,,indian
Consumer durable EMI - INR 37096 - Ref 790093,3833.47,Rent,,,,,indian
Appliance EMI - INR 49269 - Ref 514749,3313.25,Rent,,,,,indian
Airport taxi fare - INR 10756 - Ref 879493,1811.06,Travel,,,,,indian
Retail store shopping - INR 37246 - Ref 661795,178.52,Office Supplies,,,,,indian
eBay online order - INR 29054 - Ref 574484,45.5,Office Supplies,,,,,indian
McDonald's meal payment - INR 25955 - Ref 972905,315.73,Miscellaneous,,,,,indian
Zomato food delivery - INR 46410 - Ref 196606,68.06,Miscellaneous,,,,,indian
Gold bond investment - INR 11186 - Ref 843793,1999.8,Professional Fees,,,,,indian
Swiggy order payment - INR 6856 - Ref 852732,961.57,Miscellaneous,,,,,indian
